FRAME,NAME,MASS,VELOCITY,ACCELERATION,POSITION
23,Earth,5.972e+24,(-11537.5,27565.9,0),(-0.00554485,-0.00221248,0),(1.37505e+11,5.76474e+10,0)
23,Mars,6.39e+23,(-5049.46,23560.9,0),(-0.00250972,-0.000511225,0),(2.22649e+11,4.74797e+10,0)
24,Sun,1.989e+30,(0.0998305,0.0351784,0),(3.86359e-08,3.13773e-08,0),(113250,26038.9,0)
24,Mercury,3.285e+23,(-49058.5,-10637.3,0),(0.00719458,-0.0437123,0),(-1.31287e+10,5.30957e+10,0)
24,Venus,4.867e+24,(-22054.4,27599.1,0),(-0.00918843,-0.00696948,0),(8.3576e+10,6.72216e+10,0)
24,Earth,5.972e+24,(-12013.3,27366.4,0),(-0.00550725,-0.00230879,0),(1.36467e+11,6.00119e+10,0)
24,Mars,6.39e+23,(-5265.91,23514.8,0),(-0.0025052,-0.000534208,0),(2.22194e+11,4.95114e+10,0)
25,Sun,1.989e+30,(0.103068,0.0379614,0),(3.74649e-08,3.22113e-08,0),(122155,29318.8,0)
25,Mercury,3.285e+23,(-48138.2,-14359.3,0),(0.010652,-0.0430787,0),(-1.72879e+10,5.1855e+10,0)
25,Venus,4.867e+24,(-22831.3,26974.2,0),(-0.00899208,-0.00723263,0),(8.16034e+10,6.95522e+10,0)
25,Earth,5.972e+24,(-12485.8,27158.6,0),(-0.00546795,-0.00240449,0),(1.35388e+11,6.23584e+10,0)
25,Mars,6.39e+23,(-5481.95,23466.6,0),(-0.00250046,-0.000557153,0),(2.2172e+11,5.15389e+10,0)
26,Sun,1.989e+30,(0.106202,0.040811,0),(3.62791e-08,3.29812e-08,0),(131331,32844.8,0)
26,Mercury,3.285e+23,(-46924.1,-18001,0),(0.0140526,-0.0421503,0),(-2.13421e+10,5.02997e+10,0)
26,Venus,4.867e+24,(-23590.6,26327,0),(-0.00878796,-0.00749029,0),(7.95651e+10,7.18268e+10,0)
26,Earth,5.972e+24,(-12954.7,26942.7,0),(-0.00542697,-0.00249955,0),(1.34269e+11,6.46862e+10,0)
26,Mars,6.39e+23,(-5697.56,23416.5,0),(-0.00249552,-0.00058006,0),(2.21228e+11,5.35621e+10,0)
27,Sun,1.989e+30,(0.109233,0.0437216,0),(3.50837e-08,3.36873e-08,0),(140769,36622.4,0)
27,Mercury,3.285e+23,(-45423.5,-21537.6,0),(0.0173678,-0.0409326,0),(-2.52667e+10,4.84389e+10,0)
27,Venus,4.867e+24,(-24331.5,25658.1,0),(-0.00857619,-0.00774223,0),(7.74629e+10,7.40437e+10,0)
27,Earth,5.972e+24,(-13419.9,26718.6,0),(-0.00538431,-0.00259392,0),(1.33109e+11,6.69947e+10,0)
27,Mars,6.39e+23,(-5912.73,23364.4,0),(-0.00249037,-0.000602925,0),(2.20717e+11,5.55808e+10,0)
28,Sun,1.989e+30,(0.112161,0.0466877,0),(3.38835e-08,3.43303e-08,0),(150460,40656.2,0)
28,Mercury,3.285e+23,(-43646.2,-24944.8,0),(0.02057,-0.0394344,0),(-2.90377e+10,4.62837e+10,0)
28,Venus,4.867e+24,(-25053.6,24967.9,0),(-0.00835694,-0.00798821,0),(7.52983e+10,7.62009e+10,0)
28,Earth,5.972e+24,(-13881.3,26486.3,0),(-0.00533999,-0.00268759,0),(1.3191e+11,6.92831e+10,0)
28,Mars,6.39e+23,(-6127.44,23310.4,0),(-0.00248501,-0.000625748,0),(2.20188e+11,5.75948e+10,0)
29,Sun,1.989e+30,(0.114985,0.0497041,0),(3.26835e-08,3.49116e-08,0),(160394,44950.6,0)
29,Mercury,3.285e+23,(-41604.4,-28199.2,0),(0.0236324,-0.0376678,0),(-3.26323e+10,4.38473e+10,0)
29,Venus,4.867e+24,(-25756,24257,0),(-0.00813038,-0.008228,0),(7.30729e+10,7.82967e+10,0)
29,Earth,5.972e+24,(-14338.7,26246.1,0),(-0.00529402,-0.00278052,0),(1.30671e+11,7.15508e+10,0)
